Wall time;Step;Value
16.152.346.699.795.600;13933;0.064821355
16.152.348.912.432.800;13956;0.079245754
16.152.354.333.612.200;14015;0.007778933
16.152.354.659.238.300;14018;0.101678796
16.152.360.558.299.300;14083;0.133016855
16.152.363.098.192.000;14112;0.075165257
16.152.365.970.806.900;14146;0.012819943
16.152.368.846.002.700;14181;0.008439437
16.152.372.521.170.000;14220;0.102156654
1.615.238.124.366.280;14312;0.105578177
16.152.383.217.172.400;14334;0.009444055
1.615.239.070.741.700;14416;0.115747243
16.152.403.668.207.600;14557;0.067768551
16.152.409.248.668.500;14623;0.14223741
16.152.409.778.317.700;14630;0.008175658
16.152.410.634.567.300;14639;0.072403811
16.152.412.161.585.500;14656;0.062690005
16.152.413.265.324.600;14668;0.00730437
16.152.413.639.545.800;14674;0.008836489
16.152.419.076.051.300;14733;0.114377171
16.152.423.578.016.900;14783;0.101963632
16.152.427.997.702.700;14830;0.110323325
16.152.431.482.429.200;14866;0.00859509
16.152.433.766.186.800;14890;0.007689549
16.152.434.052.508.800;14893;0.068154514
16.152.440.958.246.100;14968;0.071718462
1.615.244.158.495.650;14974;0.071117871
161.524.440.599.771;15004;0.016212652
16.152.444.812.736.700;15013;0.119696118
16.152.445.717.154.700;15023;0.121358521
1.615.245.433.387.030;15115;0.057768833
16.152.454.466.000.500;15116;0.1167643
16.152.455.217.878.000;15124;0.116322696
16.152.455.641.231.600;15128;0.10343761
16.152.457.122.016.000;15145;0.124116704
16.152.462.866.899.100;15209;0.081160419
16.152.464.647.085.800;15228;0.10575033
16.152.467.566.270.500;15262;0.148059621
1.615.247.677.782.820;15363;0.11964602
16.152.482.588.306.000;15426;0.143224552
16.152.486.828.290.900;15472;0.162483811
16.152.490.763.318.700;15516;0.141224533
16.152.492.490.175.900;15535;0.062138516
1.615.249.855.532.760;15602;0.072984979
16.152.503.878.991.800;15660;0.118418567
16.152.506.225.902.900;15683;0.139378861
16.152.518.756.713.700;15809;0.097321637
16.152.518.872.874.600;15811;0.013047641
16.152.521.787.733.300;15843;0.114478014
1.615.252.480.043.200;15874;0.116621837
1.615.253.028.032.030;15933;0.081600003
16.152.544.235.574.000;16076;0.072624743
16.152.546.343.827.200;16100;0.074748062
1.615.254.720.308.840;16109;0.117707506
16.152.552.301.868.800;16161;0.007209652
1.615.255.253.413.800;16164;0.062012445
1.615.256.680.674.560;16315;0.129145101
16.152.568.155.319.500;16329;0.09918233
1.615.257.752.150.070;16431;0.116521835
1.615.257.983.639.860;16452;0.086308703
16.152.592.246.238.100;16585;0.082021937
16.152.598.998.169.200;16657;0.150884971
16.152.601.127.758.000;16679;0.133445293
16.152.602.755.717.500;16696;0.139962673
1.615.260.730.942.550;16742;0.07038597
16.152.610.428.353.300;16776;0.087082542
16.152.616.357.396.500;16841;0.061316453
16.152.624.121.718.300;16921;0.083125077
16.152.624.504.424.100;16926;0.12913242
16.152.631.812.333.300;16997;0.118195385
1.615.263.523.742.370;17033;0.119249791
1.615.264.022.670.720;17082;0.145818427
16.152.646.215.640.500;17144;0.150446624
16.152.646.287.755.800;17145;0.065602027
1.615.264.970.863.650;17179;0.109990925
1.615.265.098.490.270;17193;0.077965803
16.152.655.128.407.900;17235;0.121455021
1.615.267.137.611.710;17402;0.112344719
16.152.674.866.749.100;17433;0.132949993
16.152.678.106.415.300;17467;0.122208469
16.152.685.231.891.000;17538;0.095907085
16.152.688.871.419.400;17575;0.00933029
16.152.692.065.351.300;17608;0.133977845
16.152.693.873.963.100;17626;0.113447547
16.152.694.062.826.400;17628;0.133847713
1.615.269.676.477.240;17651;0.130343974
161.526.968.521.584;17652;0.109542124
1.615.269.693.306.200;17653;0.137349039
16.152.697.300.808.700;17656;0.125152186
16.152.699.355.094.700;17675;0.089849673
16.152.703.084.414.900;17710;0.12744756
16.152.706.205.361.200;17741;0.134839237
16.152.710.127.814.600;17780;0.086999513
161.527.110.418.486;17790;0.017851427
16.152.720.510.949.800;17879;0.135107011
1.615.272.210.604.890;17893;0.134451121
16.152.725.186.721.100;17922;0.100454666
1.615.272.600.100.770;17930;0.14422138
1.615.272.902.705.720;17959;0.096932426
16.152.739.414.753.900;18058;0.131215543
16.152.763.695.610.400;18289;0.139295593
16.152.766.364.188.300;18314;0.10310699
16.152.766.591.706.500;18317;0.011828007
16.152.767.449.044.900;18326;0.087491386
16.152.770.274.919.200;18354;0.176286772
1.615.277.437.330.280;18389;0.168146953
16.152.775.733.550.300;18401;0.181796983
16.152.782.857.013.100;18465;0.140206754
16.152.797.091.922.400;18600;0.133584142
1.615.280.351.706.170;18654;0.151721761
16.152.818.026.989.800;18787;0.095117196
1.615.281.820.672.350;18788;0.180559933
16.152.834.200.593.300;18928;0.149334177
16.152.848.285.478.100;19049;0.076491684
16.152.848.964.997.200;19056;0.130775452
1.615.286.290.805.000;19181;0.131013021
16.152.868.478.221.700;19229;0.148367763
16.152.875.502.924.200;19294;0.144320711
16.152.877.641.258.700;19313;0.167844936
16.152.880.660.917.600;19341;0.156330943
16.152.883.254.328.000;19363;0.156488001
16.152.885.494.723.700;19384;0.167444438
16.152.893.528.282.100;19452;0.080731973
16.152.899.761.410.800;19505;0.151320487
1.615.290.638.301.060;19563;0.122595012
16.152.911.244.869.500;19607;0.146349713
16.152.914.420.384.200;19636;0.112576805
16.152.935.856.420.900;19821;0.174682721
16.152.937.641.352.100;19836;0.141092315
16.152.938.097.234.400;19839;0.184946731
16.152.940.791.662.700;19861;0.146875754
16.152.941.502.317.800;19867;0.084664106
16.152.947.011.535.700;19915;0.175274551
1.615.295.475.180.850;19976;0.092901297
16.152.956.464.527.800;19990;0.140944794
1.615.295.771.189.040;20001;0.138135821
16.152.964.378.141.300;20056;0.118742973
