Wall time;Step;Value;;;
16.153.740.372.072.800;26427;1.0;;;
16.153.873.474.528.900;27484;1.0;;;
16.154.041.792.181.900;28787;1.0;;;
1.615.421.633.588.660;30199;1.0;;;
16.154.366.395.118.200;31441;1.0;;;
16.154.603.287.394.800;33338;1.0;;;
16.154.651.714.813.600;33714;1.0;;;
161.549.990.484.009;36306;1.0;;;
16.155.170.177.527.900;37575;1.0;;;
16.155.424.679.824.800;39477;1.0;;;
1.615.549.383.281.590;39968;1.0;;;
16.155.587.632.783.200;40632;1.0;;;
16.152.987.213.670.300;20252;10.0;;;
16.153.498.545.222.900;24454;10.0;;;
16.153.590.254.800.100;25215;10.0;;;
16.153.824.403.767.100;27090;10.0;;;
16.154.360.129.191.400;31388;10.0;;;
16.154.441.299.776.600;32058;10.0;;;
16.154.545.473.721.400;32878;10.0;;;
16.155.091.079.835.200;36995;10.0;;;
16.152.775.733.550.300;18401;11.0;;;
16.153.169.131.761.900;21727;11.0;;;
16.153.181.046.705.500;21820;11.0;;;
16.153.409.228.640.200;23716;11.0;;;
16.153.410.767.933.400;23730;11.0;;;
16.153.719.382.719.700;26257;11.0;;;
16.153.787.716.171.400;26806;11.0;;;
16.154.142.749.500.800;29599;11.0;;;
1.615.420.267.238.570;30083;11.0;;;
16.154.560.341.406.300;32993;11.0;;;
16.154.947.016.423.700;35909;11.0;;;
16.155.040.303.681.900;36611;11.0;;;
16.155.111.389.919.800;37146;11.0;;;
16.155.244.822.046.500;38143;11.0;;;
1.615.550.396.946.240;40038;11.0;;;
16.155.639.310.209.900;40993;11.0;;;
16.153.766.892.465.600;26639;12.0;;;
16.154.414.727.922.200;31837;12.0;;;
16.154.834.745.372.100;35087;12.0;;;
16.154.983.778.519.700;36185;12.0;;;
16.155.202.933.672.800;37825;12.0;;;
16.155.223.880.262.800;37985;12.0;;;
16.155.254.217.218.000;38212;12.0;;;
16.155.366.381.633.600;39056;12.0;;;
16.155.615.499.362.500;40824;12.0;;;
16.155.887.294.557.400;42712;12.0;;;
1.615.430.185.401.980;30905;13.0;;;
16.154.713.300.239.800;34187;13.0;;;
16.154.716.438.389.000;34212;13.0;;;
16.154.807.994.589.300;34900;13.0;;;
16.155.105.674.106.900;37103;13.0;;;
16.155.383.148.322.900;39176;13.0;;;
16.155.577.459.557.100;40560;13.0;;;
16.155.940.489.812.900;43072;13.0;;;
16.153.304.879.306.000;22843;14.0;;;
16.154.181.905.091.200;29909;14.0;;;
16.154.983.238.142.100;36180;14.0;;;
1.615.594.657.545.660;43112;15.0;;;
16.154.623.465.595.200;33488;18.0;;;
16.155.296.109.652.500;38528;18.0;;;
16.151.158.000.846.900;644;2.0;;;
16.151.211.471.884.000;1350;2.0;;;
16.151.215.330.940.500;1402;2.0;;;
16.151.218.237.737.300;1440;2.0;;;
16.151.234.018.402.600;1652;2.0;;;
16.151.251.164.821.800;1859;2.0;;;
16.151.284.371.124.600;2253;2.0;;;
16.151.294.131.162.300;2372;2.0;;;
16.151.346.577.613.300;3021;2.0;;;
16.151.390.783.531.300;3566;2.0;;;
16.151.391.934.510.500;3582;2.0;;;
16.151.457.856.862.800;4372;2.0;;;
16.151.490.026.949.200;4736;2.0;;;
16.151.500.009.061.300;4845;2.0;;;
1.615.151.428.426.500;5004;2.0;;;
16.151.555.019.837.900;5470;2.0;;;
16.151.564.112.796.200;5575;2.0;;;
16.151.604.900.801.500;6015;2.0;;;
16.151.618.745.545.300;6161;2.0;;;
1.615.164.692.953.470;6457;2.0;;;
16.151.647.784.514.700;6467;2.0;;;
16.151.671.798.080.100;6712;2.0;;;
1.615.168.586.723.450;6856;2.0;;;
1.615.172.870.577.540;7302;2.0;;;
16.151.748.213.267.700;7491;2.0;;;
16.151.807.776.452.800;8096;2.0;;;
16.151.849.906.038.400;8557;2.0;;;
1.615.186.053.394.590;8670;2.0;;;
16.151.876.382.867.000;8844;2.0;;;
16.151.909.933.070.200;9214;2.0;;;
1.615.191.228.817.670;9240;2.0;;;
16.151.920.106.879.300;9329;2.0;;;
16.151.941.652.383.500;9562;2.0;;;
16.151.949.973.903.400;9652;2.0;;;
1.615.195.302.335.340;9684;2.0;;;
1.615.195.888.356.900;9748;2.0;;;
1.615.197.902.422.310;9963;2.0;;;
16.151.984.093.612.200;10016;2.0;;;
16.151.985.779.044.800;10034;2.0;;;
16.152.056.826.897.900;10735;2.0;;;
16.152.091.547.011.900;11116;2.0;;;
1.615.209.732.369.620;11177;2.0;;;
1.615.209.810.037.680;11186;2.0;;;
16.152.102.710.198.600;11238;2.0;;;
16.152.106.650.845.100;11279;2.0;;;
16.152.108.943.555.900;11308;2.0;;;
16.152.109.110.472.200;11310;2.0;;;
1.615.211.261.701.620;11350;2.0;;;
16.152.153.252.205.800;11808;2.0;;;
16.152.169.319.702.300;11984;2.0;;;
16.152.172.578.354.100;12021;2.0;;;
16.152.199.152.821.700;12305;2.0;;;
1.615.221.654.514.220;12500;2.0;;;
16.152.238.558.767.900;12741;2.0;;;
16.152.286.606.793.100;13275;2.0;;;
16.152.297.981.358.400;13397;2.0;;;
16.152.310.913.376.800;13542;2.0;;;
16.152.314.048.094.600;13575;2.0;;;
16.152.330.872.521.000;13762;2.0;;;
16.152.354.659.238.300;14018;2.0;;;
16.152.372.521.170.000;14220;2.0;;;
1.615.238.124.366.280;14312;2.0;;;
1.615.239.070.741.700;14416;2.0;;;
16.152.419.076.051.300;14733;2.0;;;
16.152.423.578.016.900;14783;2.0;;;
16.152.427.997.702.700;14830;2.0;;;
16.152.444.812.736.700;15013;2.0;;;
16.152.455.217.878.000;15124;2.0;;;
16.152.455.641.231.600;15128;2.0;;;
16.152.462.866.899.100;15209;2.0;;;
16.152.464.647.085.800;15228;2.0;;;
1.615.247.677.782.820;15363;2.0;;;
16.152.518.756.713.700;15809;2.0;;;
16.152.521.787.733.300;15843;2.0;;;
1.615.252.480.043.200;15874;2.0;;;
16.152.568.155.319.500;16329;2.0;;;
1.615.257.752.150.070;16431;2.0;;;
16.152.601.127.758.000;16679;2.0;;;
16.152.602.755.717.500;16696;2.0;;;
16.152.624.121.718.300;16921;2.0;;;
16.152.631.812.333.300;16997;2.0;;;
1.615.263.523.742.370;17033;2.0;;;
1.615.264.970.863.650;17179;2.0;;;
1.615.267.137.611.710;17402;2.0;;;
16.152.678.106.415.300;17467;2.0;;;
16.152.693.873.963.100;17626;2.0;;;
161.526.968.521.584;17652;2.0;;;
1.615.269.693.306.200;17653;2.0;;;
16.152.699.355.094.700;17675;2.0;;;
1.615.272.902.705.720;17959;2.0;;;
16.152.797.091.922.400;18600;2.0;;;
16.152.818.026.989.800;18787;2.0;;;
1.615.286.290.805.000;19181;2.0;;;
16.152.868.478.221.700;19229;2.0;;;
1.615.290.638.301.060;19563;2.0;;;
16.152.914.420.384.200;19636;2.0;;;
16.152.964.378.141.300;20056;2.0;;;
16.152.965.746.702.100;20067;2.0;;;
16.152.973.925.005.300;20132;2.0;;;
16.152.993.548.398.000;20307;2.0;;;
1.615.300.316.961.640;20389;2.0;;;
16.153.026.003.345.200;20580;2.0;;;
